code,name,raw
7891079013052,MACARRAO INST CUP NOOD CARNE DEFUMADA 69G,7891079013052 - MACARRAO INST CUP NOOD CARNE DEFUMADA 69G
7891079013069,MACARRAO INST CUP NOOD GALINHA CAIP PIC 68G,7891079013069 - MACARRAO INST CUP NOOD GALINHA CAIP PIC 68G
7891079013083,MACARRAO INST CUP NOOD COSTELA MOLHO CHUR 68G,7891079013083 - MACARRAO INST CUP NOOD COSTELA MOLHO CHUR 68G
7891095002207,PIPOCA PARA MICRO ONDAS NATURAL COM SAL YOKI PACOTE 100G,7891095002207 - PIPOCA PARA MICRO ONDAS NATURAL COM SAL YOKI PACOTE 100G
7891095006274,PIPOCA PARA MICRO ONDAS TEMPERADA COM TOQUE DE CHEF YOKI PACOTE 100G,7891095006274 - PIPOCA PARA MICRO ONDAS TEMPERADA COM TOQUE DE CHEF YOKI PACOTE 100G
7891095008452,PIPOCA MICROONDAS YOKI PCT 100G MANTEIGA DE CINEMA,7891095008452 - PIPOCA MICROONDAS YOKI PCT 100G MANTEIGA DE CINEMA
7891095031115,BATATA PALHA TRADICIONAL YOKI SACHÃŠ 105G,7891095031115 - BATATA PALHA TRADICIONAL YOKI SACHÃŠ 105G
7891095031122,BATATA PALHA EXTRA FINA TRAD YOKI PCT 100G,7891095031122 - BATATA PALHA EXTRA FINA TRAD YOKI PCT 100G
7891095100125,PIPOCA PARA MICRO ONDAS NATURAL YOKI PACOTE 100G,7891095100125 - PIPOCA PARA MICRO ONDAS NATURAL YOKI PACOTE 100G
7891095100729,PIPOCA PARA MICRO ONDAS BACON YOKI PACOTE 100G,7891095100729 - PIPOCA PARA MICRO ONDAS BACON YOKI PACOTE 100G
7891095100934,PIPOCA PARA MICRO ONDAS MANTEIGA YOKI PACOTE 100G,7891095100934 - PIPOCA PARA MICRO ONDAS MANTEIGA YOKI PACOTE 100G
7891095911349,MILHO PARA PIPOCA TIPO 1 YOKI PREMIUM PACOTE 400G,7891095911349 - MILHO PARA PIPOCA TIPO 1 YOKI PREMIUM PACOTE 400G
7891095911356,MILHO PARA PIPOCA TIPO 1 YOKI PACOTE 400G,7891095911356 - MILHO PARA PIPOCA TIPO 1 YOKI PACOTE 400G
7891095911486,FAROFA DE MANDIOCA TRADICIONAL YOKI PACOTE 400G,7891095911486 - FAROFA DE MANDIOCA TRADICIONAL YOKI PACOTE 400G
7891098040855,"CHÁ PRETO ICE TEA LIMÃƑO LEÃƑO GARRAFA 1,5L","7891098040855 - CHÁ PRETO ICE TEA LIMÃƑO LEÃƑO GARRAFA 1,5L"
7891098040909,"CHÁ PRETO ICE TEA PÊSSEGO LEÃO GARRAFA 1,5L","7891098040909 - CHÁ PRETO ICE TEA PÊSSEGO LEÃO GARRAFA 1,5L"
7891107101621,OLEO DE SOJA SOYA PET 900ML,7891107101621 - OLEO DE SOJA SOYA PET 900ML
7891132000449,TEMPERO PARA ARROZ SAZÓN PACOTE 60G 12 UNIDADES,7891132000449 - TEMPERO PARA ARROZ SAZÓN PACOTE 60G 12 UNIDADES
7891132001101,TEMPERO SABORES DO NORDESTE SAZÓN PACOTE 12UN 60G,7891132001101 - TEMPERO SABORES DO NORDESTE SAZÓN PACOTE 12UN 60G
7891132019038,TEMPERO COMPLETO SABOR AMI S PIMENT 300G,7891132019038 - TEMPERO COMPLETO SABOR AMI S PIMENT 300G
7891132019274,TEMPERO PARA FRANGO SAZÓN PACOTE 12UN 60G,7891132019274 - TEMPERO PARA FRANGO SAZÓN PACOTE 12UN 60G
7891132019281,TEMPERO SAZON CARNES 60G,7891132019281 - TEMPERO SAZON CARNES 60G
7891132019403,TEMPERO PARA LEGUMES SAZÓN PACOTE 60G 12 UNIDADES,7891132019403 - TEMPERO PARA LEGUMES SAZÓN PACOTE 60G 12 UNIDADES
7891132019717,TEMPERO PARA MASSAS SAZÓN PACOTE 60G 12 UNIDADES,7891132019717 - TEMPERO PARA MASSAS SAZÓN PACOTE 60G 12 UNIDADES
7891132019724,TEMPERO PARA FEIJÃO SAZÓN PACOTE 60G 12 UNIDADES,7891132019724 - TEMPERO PARA FEIJÃO SAZÓN PACOTE 60G 12 UNIDADES
7891132019731,TEMPERO PARA SALADAS SAZÓN PACOTE 60G 12 UNIDADES,7891132019731 - TEMPERO PARA SALADAS SAZÓN PACOTE 60G 12 UNIDADES
7891132110216,CALDO SAZON CARNE PO CX 32 5G,7891132110216 - CALDO SAZON CARNE PO CX 32 5G
7891132110230,"CALDO PÓ GALINHA SAZÓN CAIXA 32,5G 5 UNIDADES","7891132110230 - CALDO PÓ GALINHA SAZÓN CAIXA 32,5G 5 UNIDADES"
7891136057012,APERITIVO DE ERVAS APEROL GARRAFA 750ML,7891136057012 - APERITIVO DE ERVAS APEROL GARRAFA 750ML
7891141036170,"SUCO INTEGRAL UVA TINTO AURORA CAIXA 1,5L","7891141036170 - SUCO INTEGRAL UVA TINTO AURORA CAIXA 1,5L"
7891149010509,CERVEJA BRAHMA CHOPP PILSEN LT 350ML,7891149010509 - CERVEJA BRAHMA CHOPP PILSEN LT 350ML
7891149101528,CERV BRAHMA MALZBIER LT 350ML,7891149101528 - CERV BRAHMA MALZBIER LT 350ML
7891149102808,REFRIGERANTE UVA SUKITA GARRAFA 2L,7891149102808 - REFRIGERANTE UVA SUKITA GARRAFA 2L
7891149104932,CERVEJA BRAHMA ZERO LATA 350ML,7891149104932 - CERVEJA BRAHMA ZERO LATA 350ML
7891149105564,BEBIDA MISTA ALCOÓLICA BEATS SENSES LATA 269ML,7891149105564 - BEBIDA MISTA ALCOÓLICA BEATS SENSES LATA 269ML
7891149108718,CERVEJA PILSEN CORONA EM GARRAFA DE 330ML,7891149108718 - CERVEJA PILSEN CORONA EM GARRAFA DE 330ML
7891149108749,CERVEJA PILSEN CORONITA EXTRA GARRAFA 210ML,7891149108749 - CERVEJA PILSEN CORONITA EXTRA GARRAFA 210ML
7891149200504,CERVEJA PILSEN SKOL EM LATA DE 350ML,7891149200504 - CERVEJA PILSEN SKOL EM LATA DE 350ML
7891149440801,REFRIGERANTE SUKITA DE LARANJA PET 2L,7891149440801 - REFRIGERANTE SUKITA DE LARANJA PET 2L
7891150019560,SABONETE BARRA MANTEIGA DE KARITÉ E BAUNILHA DOVE CAIXA 90G,7891150019560 - SABONETE BARRA MANTEIGA DE KARITÉ E BAUNILHA DOVE CAIXA 90G
7891150020672,LAVA ROUPAS LÍQUIDO ROUPAS BRANCAS E COLORIDAS BRILHANTE LIMPEZA TOTAL FRASCO 3L,7891150020672 - LAVA ROUPAS LÍQUIDO ROUPAS BRANCAS E COLORIDAS BRILHANTE LIMPEZA TOTAL FRASCO 3L
7891150020689,LAVA ROUPAS LÍQUIDO LAVAGEM PERFEITA OMO GALÃO 3L,7891150020689 - LAVA ROUPAS LÍQUIDO LAVAGEM PERFEITA OMO GALÃO 3L
7891150022034,SAPONÁCEO CREMOSO MULTIUSO ORIGINAL CIF SQUEEZE 450ML,7891150022034 - SAPONÁCEO CREMOSO MULTIUSO ORIGINAL CIF SQUEEZE 450ML
7891150027800,MAIONESE NBA GOLDEN STATE WARRIORS HELLMANNS SQUEEZE 335G,7891150027800 - MAIONESE NBA GOLDEN STATE WARRIORS HELLMANNS SQUEEZE 335G
7891150027848,KETCHUP TRADICIONAL HELLMANNS EM SQUEEZE DE 380G,7891150027848 - KETCHUP TRADICIONAL HELLMANNS EM SQUEEZE DE 380G
7891150037397,SHAMPOO SEDA CERAMIDAS FRASCO 325ML,7891150037397 - SHAMPOO SEDA CERAMIDAS FRASCO 325ML
7891150049895,CREME DENTAL CLOSEUP 70GR TRIPLE MENTA,7891150049895 - CREME DENTAL CLOSEUP 70GR TRIPLE MENTA
7891150054585,AMACIANTE DE ROUPA CONCENTRADO FRESCOR INTENSO Ã“LEO DE ARGAN COMFORT SACHÃŠ 900ML REFIL,7891150054585 - AMACIANTE DE ROUPA CONCENTRADO FRESCOR INTENSO Ã“LEO DE ARGAN COMFORT SACHÃŠ 900ML REFIL
7891150059849,SABON LUX BUQUE DE JASMIM 85G,7891150059849 - SABON LUX BUQUE DE JASMIM 85G
7891150059870,SABONETE LUX ROSAS FRANCESAS 85G,7891150059870 - SABONETE LUX ROSAS FRANCESAS 85G
7891150059887,SABONETE BARRA DE GLICERINA LAVANDA LUX BOTANICALS ENVOLTÓRIO 85G,7891150059887 - SABONETE BARRA DE GLICERINA LAVANDA LUX BOTANICALS ENVOLTÓRIO 85G
7891150059900,SABONETE BARRA GLICERINADO ORQUÍDEA NEGRA LUX BOTANICALS ENVOLTÓRIO 85G,7891150059900 - SABONETE BARRA GLICERINADO ORQUÍDEA NEGRA LUX BOTANICALS ENVOLTÓRIO 85G
7891150064317,LAVA ROUPAS EM PO LAVAGEM PERFEITA OMO EM CAIXA DE 800G,7891150064317 - LAVA ROUPAS EM PO LAVAGEM PERFEITA OMO EM CAIXA DE 800G
